創業,創業
設立,関係会社設立
合併,合併
子会社化,合併
買収,買収
提携,提携
開発,開発
発売,開発
撤退,撤退
解散,撤退
解消,撤退
アメリカ,北米
工場,設備投資
竣工,設備投資
